Suburbs,Latitude,Longitude
"Balmain, New Sout",-33.85599999999994,151.17587000000003
"Bangor, New Sout",-34.018599999999935,151.02890000000002
"Banksia, New Sout",-33.94551999999993,151.1414400000001
"Bankstown Aerodrome, New Sout",-33.91706999999997,150.99214000000006
"Barangaroo, New Sout",-33.85825999999997,151.2024600000001
"Barden Ridge, New Sout",-34.02650999999997,151.00710000000004
"Bardia, New Sout",-33.97723414099994,150.86187442900007
"Bardwell Park, New Sout",-33.932009999999934,151.12570000000005
"Bardwell Valley, New Sout",-33.93712999999997,151.13305000000003
"Bass Hill, New Sout",-33.89850999999993,150.99494000000004
"Baulkham Hills, New Sout",-33.75758999999994,150.9896000000001
"Bayview, New Sout",-33.656789999999944,151.29460000000006
"Beacon Hill, New Sout",-33.752579999999966,151.26125000000002
"Beaumont Hills, New Sout",-33.70497999999998,150.94128000000012
"Beecroft, New Sout",-33.74968999999993,151.0646200000001
"Belfield, New Sout",-33.90459999999996,151.08504000000005
"Bella Vista, New Sout",-33.73795999999993,150.95551000000012
"Bellevue Hill, New Sout",-33.87884999999994,151.25407000000007
"Belmore, New Sout",-33.91921999999994,151.0931200000001
"Belrose, New Sout",-33.728569999999934,151.22090000000003
"Berala, New Sout",-33.869189999999946,151.0348600000001
"Berkshire Park, New Sout",-33.67095999999998,150.77643000000012
"Berowra Creek, New Sout",-33.623639999999966,151.15048000000002
"Berowra Heights, New Sout",-33.61167999999998,151.1377000000001
"Berowra Waters, New Sout",-33.615954943753756,151.14247508400237
"Berowra, New Sout",-33.623639999999966,151.15048000000002
"Berrilee, New Sout",-33.614229999999964,151.10279000000003
"Beverley Park, New Sout",-33.97546999999997,151.1319000000001
"Beverly Hills, New Sout",-33.94692999999995,151.08014000000003
"Bexley North, New Sout",-33.938319999999976,151.11418000000003
"Bexley, New Sout",-33.95088999999996,151.1255500000001
"Bickley Vale, New Sout",-34.07850617099996,150.66092098900003
"Bidwill, New Sout",-33.729209999999966,150.82096
"Bilgola Beach, New Sout",-33.64272999999997,151.3279100000001
"Bilgola Plateau, New Sout",-33.64309999999995,151.31699000000003
"Birchgrove, New Sout",-33.76243997540439,151.0030350838802
"Blackett, New Sout",-33.73954999999995,150.8149800000001
"Blair Athol, New Sout",-34.064299999999946,150.80515000000003
"Blairmount, New Sout",-34.048749999999984,150.8040400000001
"Blakehurst, New Sout",-33.987979999999936,151.11148000000003
"Blaxlands Ridge, New Sout",-33.46840999999995,150.80240000000003
"Bligh Park, New Sout",-33.63863052099998,150.79973622800003
"Bondi Junction, New Sout",-33.892409999999984,151.24732000000006
"Bondi, New Sout",-33.89497610539754,151.27326884516557
"Bonnet Bay, New Sout",-34.01120999999995,151.0552100000001
"Bonnyrigg, New Sout",-33.89666999999997,150.88381000000004
"Botany, New Sout",-33.94516999999996,151.19676000000004
"Bow Bowing, New Sout",-34.017169999999965,150.83969000000002
"Box Hill, New Sout",-33.99312495439925,150.90369008523584
"Bradbury, New Sout",-34.08416999999997,150.81248000000005
"Bradfield, New Sout",-33.78230396150423,151.14897094239745
"Breakfast Point, New Sout",-33.841579999999965,151.10865
"History of Brighton-Le-Sands, New Sout",-33.96062999999998,151.1556700000001
"Brighton-Le-Sands, New Sout",-33.96062999999998,151.1556700000001
"Bringelly, New Sout",-33.76514434955481,150.7193818995574
"Bronte, New Sout",-33.90286999999995,151.26001000000008
"Brooklyn, New Sout",-33.02446214157364,149.87853450229323
"Brookvale, New Sout",-33.76112999999998,151.27368
"Bundeena, New Sout",-34.084149999999966,151.14634
"Bungarribee, New Sout",-33.77840999999995,150.86953000000005
"Burraneer, New Sout",-34.053169999999966,151.14178000000004
"Burwood Heights, New Sout",-33.88794999999993,151.10433000000012
"Burwood, New Sout",-33.87768999999997,151.10548000000006
"Busby, New Sout",-33.91075999999998,150.88085
"Cabarita, New Sout",-33.84567999999996,151.1155500000001
"Cabramatta, New Sout",-33.894979999999975,150.93853000000001
"Caddens, New Sout",-33.77470999999997,150.72567000000004
"Cambridge Gardens, New Sout",-33.73491999999993,150.72122000000002
"Cambridge Park, New Sout",-33.74760999999995,150.72098000000005
"Camden Park, New Sout",-34.05571999999995,150.69365000000005
"Camden South, New Sout",-34.07791999999995,150.6944400000001
"Camden, New Sout",-34.05571999999995,150.69365000000005
"Camellia, New Sout",-33.82034999999996,151.03160000000003
"Campbelltown, New Sout",-34.06407999999993,150.81658000000004
"Camperdown, New Sout",-33.88805999999994,151.18321000000003
"Campsie, New Sout",-33.90672999999998,151.1031700000001
"Canada Bay, New Sout",-33.86284999999998,151.11585000000002
"Canley Heights, New Sout",-33.88380999999998,150.92527000000007
"Canley Vale, New Sout",-33.88704999999993,150.94260000000008
"Canoelands, New Sout",-33.49544999999995,151.0801100000001
"Canterbury, New Sout",-33.89996277575539,151.14497365568775
"Caringbah South, New Sout",-34.05686999999995,151.12111000000004
"Carlingford, New Sout",-33.778389999999945,151.0559800000001
"Carlton, New Sout",-33.973679999999945,151.1294600000001
"Carnes Hill, New Sout",-33.935859999999934,150.84473000000003
"Carramar, New Sout",-33.88484999999997,150.9675000000001
"Carss Park, New Sout",-33.98439999999994,151.11611000000005
"Cartwright, New Sout",-33.92543999999998,150.8901400000001
"Castle Cove, New Sout",-33.781649999999956,151.2016000000001
"Castle Hill, New Sout",-33.73151999999993,151.0039200000001
"Castlecrag, New Sout",-33.80237999999997,151.21239000000003
"Castlereagh, New Sout",-33.87587285305561,151.20884103073428
"Casula, New Sout",-33.94943999999998,150.90380000000005
"Catherine Field, New Sout",-33.99154339099994,150.76507775900006
"Cattai, New Sout",-33.96264799399206,150.95276913287952
"Cecil Hills, New Sout",-33.89394999999996,150.85633000000007
"Cecil Park, New Sout",-33.667684808507396,151.31586747780602
"Centennial Park, New Sout",-33.89818999999994,151.23300000000006
"Central Colo, New Sout",-33.889449999999954,151.20470000000012
"Central Macdonald, New Sout",-33.33053999999993,150.98224000000005
"Chatswood West, New Sout",-33.792569999999955,151.15949000000012
"Chatswood, New Sout",-33.79603999999995,151.18387000000007
"Cheltenham, New Sout",-33.755859999999984,151.07942000000003
"Cherrybrook, New Sout",-33.72177999999997,151.04093000000012
"Chifley, New Sout",-33.96590999999995,151.24162
"Chippendale, New Sout",-33.88845999999995,151.19811000000004
"Chipping Norton, New Sout",-33.91569999999996,150.96091
"Chiswick, New Sout",-33.84938999999997,151.13904000000002
"Church Point, New Sout",-33.65193192099997,151.28075441800001
"Claremont Meadows, New Sout",-33.77020999999996,150.75204000000008
"Clarendon, New Sout",-33.61057939099993,150.79111872800001
"Clareville, New Sout",-33.63574999999997,151.30865000000006
"Claymore, New Sout",-34.04493999999994,150.81415000000004
"Clemton Park, New Sout",-33.92518999999993,151.10385000000008
"Clontarf, New Sout",-33.79794999999996,151.2525300000001
"Clovelly, New Sout",-33.91084999999998,151.2589200000001
"Clyde, New Sout",-33.834139999999934,151.02016000000003
"Coasters Retreat, New Sout",-33.60529999999994,151.3006600000001
"Cobbitty, New Sout",-34.01389319546715,150.7194824099968
